	airport_id	airport_name	year	month	origin_domestic	origin_international	origin_total	destination_domestic	destination_international	destination_total	destination_total	report_dt
125	KDEN	DENVER INTL AIRPORT	2012	5	23,623	904	24,527	23,578	902	24,480	24,480	2023-09-14
126	KDEN	DENVER INTL AIRPORT	2012	6	24,841	865	25,706	24,818	859	25,677	25,677	2023-09-14
127	KDEN	DENVER INTL AIRPORT	2012	7	26,174	886	27,060	26,147	884	27,031	27,031	2023-09-14
128	KDEN	DENVER INTL AIRPORT	2012	8	26,031	858	26,889	25,995	857	26,852	26,852	2023-09-14
129	KDEN	DENVER INTL AIRPORT	2012	9	23,201	772	23,973	23,172	763	23,935	23,935	2023-09-14
130	KDEN	DENVER INTL AIRPORT	2012	10	23,710	782	24,492	23,695	773	24,468	24,468	2023-09-14
131	KDEN	DENVER INTL AIRPORT	2012	11	22,338	751	23,089	22,335	753	23,088	23,088	2023-09-14
132	KDEN	DENVER INTL AIRPORT	2012	12	23,202	919	24,121	23,187	929	24,116	24,116	2023-09-14
133	KDEN	DENVER INTL AIRPORT	2012	TOTAL	283,863	10,402	294,265	283,626	10,372	293,998	293,998	2023-09-14
134	KDEN	DENVER INTL AIRPORT	2013	1	21,840	930	22,770	21,792	937	22,729	22,729	2023-09-14
135	KDEN	DENVER INTL AIRPORT	2013	2	19,607	843	20,450	19,588	841	20,429	20,429	2023-09-14
136	KDEN	DENVER INTL AIRPORT	2013	3	22,737	1,018	23,755	22,729	1,023	23,752	23,752	2023-09-14
137	KDEN	DENVER INTL AIRPORT	2013	4	21,543	924	22,467	21,522	928	22,450	22,450	2023-09-14
138	KDEN	DENVER INTL AIRPORT	2013	5	22,790	908	23,698	22,775	899	23,674	23,674	2023-09-14
139	KDEN	DENVER INTL AIRPORT	2013	6	23,085	947	24,032	23,044	945	23,989	23,989	2023-09-14
140	KDEN	DENVER INTL AIRPORT	2013	7	24,345	1,015	25,360	24,310	1,007	25,317	25,317	2023-09-14
141	KDEN	DENVER INTL AIRPORT	2013	8	23,782	956	24,738	23,778	958	24,736	24,736	2023-09-14
142	KDEN	DENVER INTL AIRPORT	2013	9	22,359	858	23,217	22,339	843	23,182	23,182	2023-09-14
143	KDEN	DENVER INTL AIRPORT	2013	10	22,735	864	23,599	22,722	864	23,586	23,586	2023-09-14
144	KDEN	DENVER INTL AIRPORT	2013	11	20,923	841	21,764	20,905	834	21,739	21,739	2023-09-14
